sampleIndex,timestamp,HR0,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,HR25,HR26,HR27,HR28,HR29,HR30,HR31,HR32,HR33,HR34,HR35,HR36,HR37,HR38,HR39,HR40,HR41,HR42,HR43,HR44,HR45,HR46,HR47,HR48,HR49,HR50,HR51,HR52,HR53,HR54,HR55,HR56,HR57,HR58,HR59
21,2026-04-08T09:37:59.891172,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
22,2026-04-08T09:38:00.556228,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
23,2026-04-08T09:38:01.153058,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
24,2026-04-08T09:38:01.755705,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
25,2026-04-08T09:38:02.358636,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
26,2026-04-08T09:38:02.971950,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
27,2026-04-08T09:38:03.610210,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
28,2026-04-08T09:38:04.208713,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
29,2026-04-08T09:38:04.816742,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
30,2026-04-08T09:38:05.430296,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
